PyPSA technology,Sub-technology,LCI name,Market share current,Scenario EV NMC 811,Scenario EV SiB,Scenario thin-film solar,Scenario EV NMC-811,Scenario EV LFP,Scenario stat vanadium-flow
Offshore Wind (AC),Gearbox double-fed induction generator (GB-DFIG),GB-DFIG_carrara,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Offshore Wind (AC),Gearbox permanent-magnet synchronous generator (GB-PMSG),GB-PMSG_carrara,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Offshore Wind (AC),Direct-drive permanent magnet synchronous generator (DD-PMSG) ,DD-PMSG_carrara,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Offshore Wind (AC),Direct-drive electrically excited synchronous generator (DD-EESG) ,DD-EESG_carrara,0,0,0,0,0,0,0
Offshore Wind (DC),Gearbox double-fed induction generator (GB-DFIG),GB-DFIG_carrara,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Offshore Wind (DC),Gearbox permanent-magnet synchronous generator (GB-PMSG),GB-PMSG_carrara,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Offshore Wind (DC),Direct-drive permanent magnet synchronous generator (DD-PMSG) ,DD-PMSG_carrara,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Offshore Wind (DC),Direct-drive electrically excited synchronous generator (DD-EESG) ,DD-EESG_carrara,0,0,0,0,0,0,0
Onshore Wind,Gearbox double-fed induction generator (GB-DFIG),GB-DFIG_carrara,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Onshore Wind,Gearbox permanent-magnet synchronous generator (GB-PMSG),GB-PMSG_carrara,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Onshore Wind,Direct-drive permanent magnet synchronous generator (DD-PMSG) ,DD-PMSG_carrara,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Onshore Wind,Direct-drive electrically excited synchronous generator (DD-EESG) ,DD-EESG_carrara,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Solar,Crystalline silicon (c-Si) ,c-Si_carrara,0.95,0.95,0.95,0,0.95,0.95,0.95
Solar,Cadmium telluride (CdTe) ,CdTe_carrara,0.024,0.024,0.024,0.5,0.024,0.024,0.024
Solar,Amorphous silicon (a-Si) ,a-Si_carrara,0.003,0.003,0.003,0,0.003,0.003,0.003
Solar,CIGS,CIGS_carrara,0,0,0,0.5,0,0,0
solar rooftop,Crystalline silicon (c-Si) ,c-Si_carrara,0.95,0.95,0.95,0,0.95,0.95,0.95
solar rooftop,Cadmium telluride (CdTe) ,CdTe_carrara,0.024,0.024,0.024,0.5,0.024,0.024,0.024
solar rooftop,Amorphous silicon (a-Si) ,a-Si_carrara,0.003,0.003,0.003,0,0.003,0.003,0.003
solar rooftop,CIGS,CIGS_carrara,0,0,0,0.5,0,0,0
Battery Storage,NMC111,"market for battery capacity, Li-ion, NMC111, stationary",0.1,0.1,0.1,0.1,0.1,0.1,0
Battery Storage,NMC532,"market for battery capacity, Li-ion, NMC532, stationary",0.1,0.1,0.1,0.1,0.1,0.1,0
Battery Storage,Lithium iron phosphate (LFP) ,"market for battery capacity, Li-ion, LFP, stationary",0.8,0.8,0.8,0.8,0.8,0.8,0
Battery Storage,Vanadium redox flow,"market for battery capacity, redox-flow, Vanadium, stationary",0,0,0,0,0,0,1
H2 Electrolysis,H2 electrolyzer,"electrolyzer production, 1MWe, AEC, Stack",1,1,1,1,1,1,1
Combined-Cycle Gas,CCGT,"gas power plant construction, combined cycle, 400MW electrical",1,1,1,1,1,1,1
nuclear,Nuclear pressure water reactor,"nuclear power plant construction, pressure water reactor, 1000MW",1,1,1,1,1,1,1
heat pump,Heat pump,"heat pump production, 30kW",1,1,1,1,1,1,1
EV battery,NMC111,"market for battery capacity, Li-ion, NMC111",0.07,0.03,0,0.07,0,0,0.07
EV battery,NMC532,"market for battery capacity, Li-ion, NMC532",0.2,0,0,0.2,0,0,0.2
EV battery,NMC622,"market for battery capacity, Li-ion, NMC622",0.3,0.17,0,0.3,0,0,0.3
EV battery,NMC811,"market for battery capacity, Li-ion, NMC811",0.15,0.6,0,0.15,1,0,0.15
EV battery,LFP,"market for battery capacity, Li-ion, LFP",0.08,0.1,0,0.08,0,1,0.08
EV battery,NCA,"market for battery capacity, Li-ion, NCA",0.2,0.1,0,0.2,0,0,0.2
EV battery,SiB,"market for battery capacity, Sodium-ion, SiB",0,0,1,0,0,0,0
EV motor,EV motor,"market for electric motor, electric passenger car",1,1,1,1,1,1,1
EV motor,EV motor,"market for electric motor, electric passenger car",0,0,0,0,0,0,0
